ch |    x16 |   x10 |
hp | 0x7068 | 28776 |
hq | 0x7168 | 29032 |
hr | 0x7268 | 29288 |
hs | 0x7368 | 29544 |
ht | 0x7468 | 29800 |
hu | 0x7568 | 30056 |
hv | 0x7668 | 30312 |
hw | 0x7768 | 30568 |
hx | 0x7868 | 30824 |
hy | 0x7968 | 31080 |
hz | 0x7a68 | 31336 |
ia | 0x6169 | 24937 |
ib | 0x6269 | 25193 |
ic | 0x6369 | 25449 |
id | 0x6469 | 25705 |
ie | 0x6569 | 25961 |
if | 0x6669 | 26217 |
ig | 0x6769 | 26473 |
ih | 0x6869 | 26729 |
ii | 0x6969 | 26985 |
ij | 0x6a69 | 27241 |
ik | 0x6b69 | 27497 |
il | 0x6c69 | 27753 |
im | 0x6d69 | 28009 |
in | 0x6e69 | 28265 |
io | 0x6f69 | 28521 |
ip | 0x7069 | 28777 |
iq | 0x7169 | 29033 |
ir | 0x7269 | 29289 |
is | 0x7369 | 29545 |
it | 0x7469 | 29801 |
iu | 0x7569 | 30057 |
iv | 0x7669 | 30313 |
iw | 0x7769 | 30569 |
ix | 0x7869 | 30825 |
iy | 0x7969 | 31081 |
iz | 0x7a69 | 31337 |
ja | 0x616a | 24938 |
jb | 0x626a | 25194 |
jc | 0x636a | 25450 |
jd | 0x646a | 25706 |
je | 0x656a | 25962 |
jf | 0x666a | 26218 |
jg | 0x676a | 26474 |
jh | 0x686a | 26730 |
ji | 0x696a | 26986 |
jj | 0x6a6a | 27242 |
jk | 0x6b6a | 27498 |
jl | 0x6c6a | 27754 |
jm | 0x6d6a | 28010 |
jn | 0x6e6a | 28266 |
jo | 0x6f6a | 28522 |
jp | 0x706a | 28778 |
jq | 0x716a | 29034 |
jr | 0x726a | 29290 |
js | 0x736a | 29546 |
jt | 0x746a | 29802 |
ju | 0x756a | 30058 |
jv | 0x766a | 30314 |
jw | 0x776a | 30570 |
jx | 0x786a | 30826 |
jy | 0x796a | 31082 |
jz | 0x7a6a | 31338 |
ka | 0x616b | 24939 |
kb | 0x626b | 25195 |
kc | 0x636b | 25451 |
kd | 0x646b | 25707 |
ke | 0x656b | 25963 |
kf | 0x666b | 26219 |
kg | 0x676b | 26475 |
kh | 0x686b | 26731 |
ki | 0x696b | 26987 |
kj | 0x6a6b | 27243 |
kk | 0x6b6b | 27499 |
kl | 0x6c6b | 27755 |
km | 0x6d6b | 28011 |
kn | 0x6e6b | 28267 |
ko | 0x6f6b | 28523 |
kp | 0x706b | 28779 |
kq | 0x716b | 29035 |
kr | 0x726b | 29291 |
ks | 0x736b | 29547 |
kt | 0x746b | 29803 |
ku | 0x756b | 30059 |
kv | 0x766b | 30315 |
kw | 0x776b | 30571 |
kx | 0x786b | 30827 |
ky | 0x796b | 31083 |
kz | 0x7a6b | 31339 |
la | 0x616c | 24940 |
lb | 0x626c | 25196 |
lc | 0x636c | 25452 |
ld | 0x646c | 25708 |
le | 0x656c | 25964 |
lf | 0x666c | 26220 |
lg | 0x676c | 26476 |
lh | 0x686c | 26732 |
li | 0x696c | 26988 |
lj | 0x6a6c | 27244 |
lk | 0x6b6c | 27500 |
ll | 0x6c6c | 27756 |
lm | 0x6d6c | 28012 |
ln | 0x6e6c | 28268 |
lo | 0x6f6c | 28524 |
lp | 0x706c | 28780 |
lq | 0x716c | 29036 |
lr | 0x726c | 29292 |
ls | 0x736c | 29548 |
lt | 0x746c | 29804 |
